condition,model,marker,category,citation,orig_mean,rewrite_mean,cohens_d,p_value,pct_change
voice_preserving,claude_sonnet,punct_comma_ratio,Syntax & Punctuation,Stamatatos 2009; Grieve 2007,0.03212498549130149,0.048088190417685465,1.0415551128724458,1.1053974248413974e-29,49.690932718728696
voice_preserving,claude_sonnet,punct_dash_ratio,Syntax & Punctuation,Stamatatos 2009,0.0019129864299860736,0.009029178571220079,1.3003638545100829,2.9207448735941224e-38,371.9938641324189
voice_preserving,claude_sonnet,voice_contraction_density,Register,Biber 1988; Heylighen & Dewaele 2002,0.0204,0.0242,0.3778,1.0442537180042711e-10,18.39
voice_preserving,claude_sonnet,voice_first_person_density,Register,Biber 1988,0.0875,0.0763,-0.8203,2.160202386256393e-31,-12.74
voice_preserving,claude_sonnet,emo_word_density,Register,Pennebaker et al. 2015,0.0705,0.0704,-0.0011,0.675250654852767,-0.02
voice_preserving,gemini_31_pro,mfw_top50_coverage,Function Words,Burrows 2002; Eder et al. 2016,0.671347993298808,0.6010980994734585,-1.5006628713730716,7.000129857154234e-51,-10.464005929348511
voice_preserving,gemini_31_pro,mfw_fw_ratio,Function Words,Burrows 2002; Eder et al. 2016,0.4712572704457465,0.43539178499424064,-1.0421407576632997,1.458846090241605e-46,-7.610595676875584
voice_preserving,gemini_31_pro,vocab_honores_r,Vocabulary,Honoré 1979,1829.037885518078,2347.9986528929408,1.5029938854425884,9.278122576823478e-49,28.373429084431805
voice_preserving,gemini_31_pro,ld_mtld,Vocabulary,McCarthy & Jarvis 2010,69.4687,101.3788,1.5896,1.2384139849272784e-50,45.93
voice_preserving,gemini_31_pro,wlen_mean,Vocabulary,Mendenhall 1887,3.997370964474503,4.231766499250467,1.0728865861793346,2.490475214117921e-50,5.863742366147343
voice_preserving,gemini_31_pro,char_3gram_entropy,Vocabulary,"Stamatatos 2009, 2013",8.79740276439843,9.058363482472927,1.1827001234068453,6.083559849691437e-51,2.9663381916599243
voice_preserving,gemini_31_pro,vocab_yules_k,Vocabulary,Yule 1944; Tweedie & Baayen 1998,137.17376645045996,111.87826027191291,-0.8109811274549494,1.6718898296234453e-44,-18.440483798833707
voice_preserving,gemini_31_pro,slen_mean,Syntax & Punctuation,Williams 1940; Stamatatos 2009,15.888186098426974,16.581530394474104,0.20538872819638204,1.249369479104094e-07,4.363898381803162
voice_preserving,gemini_31_pro,punct_comma_ratio,Syntax & Punctuation,Stamatatos 2009; Grieve 2007,0.03212498549130149,0.052834334298051795,1.346081565699217,2.5336407511647386e-39,64.46492812380507
voice_preserving,gemini_31_pro,punct_dash_ratio,Syntax & Punctuation,Stamatatos 2009,0.0019129864299860736,0.007044996734453496,0.9595622760224668,9.359084987212956e-31,268.27217506737793
voice_preserving,gemini_31_pro,voice_contraction_density,Register,Biber 1988; Heylighen & Dewaele 2002,0.0204,0.0167,-0.3594,1.2929769495766053e-08,-18.2
voice_preserving,gemini_31_pro,voice_first_person_density,Register,Biber 1988,0.0875,0.0817,-0.4821,3.548599731431356e-18,-6.59
voice_preserving,gemini_31_pro,emo_word_density,Register,Pennebaker et al. 2015,0.0705,0.0781,0.5458,1.1544497267506878e-17,10.84
